Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
67,2-5-3-8-6-1-7-4-0,0.2972698211669922,4159,26,13990.656648808186
68,2-6-5-7-1-3-0-8-4,0.0,37,16,3700.0
69,1-2-8-0-5-4-3-6-7,0.0,54,13,5400.0
70,3-7-4-5-8-6-1-0-2,0.01452779769897461,291,21,20030.565267338432
71,1-8-4-2-3-0-5-6-7,0.04205322265625,522,21,12412.841799709724
72,8-4-5-6-1-0-3-7-2,0.3234367370605469,4325,25,13372.012218854305
73,4-1-0-8-3-5-6-7-2,0.05778813362121582,306,18,5295.204756148378
74,1-7-8-0-6-2-3-4-5,0.043006181716918945,396,19,9207.978578675138
75,0-1-2-3-4-7-5-6-8,0.05035209655761719,484,18,9612.310769347323
76,3-4-7-2-1-8-6-0-5,0.25159525871276855,2010,23,7989.021773636435
77,1-2-7-6-0-8-3-4-5,0.04857039451599121,390,18,8029.58270951654
78,5-2-8-4-6-3-7-1-0,0.22307729721069336,1876,24,8409.641068172636
79,4-3-2-6-1-7-0-8-5,0.0,13,10,1300.0
80,3-2-6-5-8-7-4-0-1,0.018840312957763672,407,21,21602.61355065678
81,6-3-7-8-2-0-4-5-1,0.008105993270874023,384,21,47372.35612812141
82,4-0-3-1-6-8-5-7-2,0.08006834983825684,1151,23,14375.218202012322
83,2-4-7-0-5-3-1-6-8,0.05855298042297363,655,21,11186.450207460432
84,3-7-8-1-0-5-4-6-2,0.2901444435119629,2977,24,10260.406726959278
85,1-3-8-0-2-6-7-4-5,0.03336381912231445,747,21,22389.5231316726
86,0-8-3-7-1-4-2-6-5,0.2503640651702881,3556,26,14203.316268975519
87,5-4-2-8-3-6-1-7-0,0.11827516555786133,1859,24,15717.585270177107
88,8-3-2-4-5-6-0-7-1,0.08658480644226074,1891,24,21839.85941299086
89,0-8-6-7-2-4-5-1-3,0.06311774253845215,957,26,15162.139226018471
90,2-8-0-7-1-6-4-3-5,0.15276050567626953,1846,24,12084.275263608044
91,5-7-3-0-6-2-8-4-1,0.2798781394958496,2436,25,8703.788028561352
92,5-3-6-8-7-0-1-2-4,0.1508166790008545,3046,27,20196.70516669275
93,0-7-3-4-2-6-5-1-8,0.2657816410064697,2949,26,11095.574505570212
94,4-8-6-7-5-0-1-2-3,0.016452789306640625,367,23,22306.248087178297
95,7-8-2-3-4-0-6-5-1,0.18082118034362793,1999,23,11055.120844810059
96,2-5-0-8-7-4-3-1-6,0.032782793045043945,727,22,22176.267867142786
97,3-0-8-4-7-6-5-2-1,0.12824368476867676,1830,25,14269.708510800476
98,5-4-0-7-8-2-3-6-1,0.1716632843017578,2424,24,14120.66657037144
99,7-5-0-4-2-6-3-8-1,0.013544321060180664,291,20,21485.019345526238
100,6-1-7-2-4-0-3-5-8,0.36454105377197266,4693,25,12873.721495674286
